Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Managers
ARI,2128765,26281,26.5,27.7,105,106,0,2,10,$75920666,2:56,Melvin and Hinch
ATL,2373631,29304,28.8,28.9,99,98,1,1,11,$99593166,2:54,Cox
BAL,1907163,23545,28.7,28.1,101,102,0,1,14,$69904166,2:52,Trembley
BOS,3062699,37811,30.0,29.8,105,104,1,6,23,$125439499,3:06,Francona
CHC,3168859,39611,29.9,28.4,107,106,0,1,11,$139652000,2:52,Piniella
CHW,2284163,28200,29.8,29.5,105,105,1,1,16,$101081000,2:46,Guillen
CIN,1747919,21579,27.8,29.0,100,100,0,1,12,$78979000,2:58,Baker
CLE,1766242,21805,27.4,27.8,95,95,0,1,12,$85224866,3:01,Wedge
COL,2665080,32902,27.8,28.5,112,112,0,2,12,$79250200,2:57,Hurdle and Tracy
DET,2567165,31693,29.8,26.6,101,101,0,4,11,$119510145,2:50,Leyland
FLA,1464109,18075,27.0,26.3,102,102,0,2,6,$40029000,3:00,Gonzalez
HOU,2521076,31124,31.6,31.2,98,98,1,2,12,$105804414,2:51,Cooper and Clark
KCR,1797891,22196,27.6,28.7,97,99,0,1,6,$76817333,2:54,Hillman
LAA,3240386,40005,29.6,28.6,99,98,1,3,14,$118169000,2:56,Scioscia
LAD,3761655,46440,29.7,27.8,95,95,1,3,19,$102117592,3:08,Torre
MIL,3037451,37499,29.3,30.0,98,98,1,3,11,$81384502,3:00,Macha
MIN,2416237,29466,27.6,27.9,98,98,0,3,11,$67804266,2:56,Gardenhire
NYM,3168571,39118,29.5,29.2,97,97,0,4,13,$151994237,2:55,Manuel
NYY,3719358,45918,30.6,29.3,105,103,1,3,17,$210330039,3:11,Girardi
OAK,1408783,17392,29.1,25.7,98,98,0,1,7,$65945000,2:50,Geren
PHI,3600693,44453,31.3,31.2,101,100,1,5,14,$115479046,2:56,Manuel
PIT,1577853,19480,27.0,26.3,98,99,0,2,10,$51912500,2:49,Russell
SDP,1919603,23699,28.0,26.8,90,90,0,2,10,$50954200,2:55,Black
SEA,2195533,27105,29.9,27.4,94,95,1,2,9,$100134166,2:46,Wakamatsu
SFG,2862110,35335,29.0,28.7,102,101,1,2,15,$91944450,2:49,Bochy
STL,3343252,41275,28.5,30.1,98,97,1,3,11,$90928409,2:48,La Russa
TBR,1874962,23148,27.8,28.4,98,97,0,5,14,$67270334,3:01,Maddon
TEX,2156016,26617,27.8,27.7,104,104,1,3,19,$79723548,2:51,Washington
TOR,1876129,23162,29.9,28.4,100,99,1,2,12,$83964500,2:56,Gaston
WSN,1817226,22435,28.3,27.4,99,101,0,1,11,$64384000,2:55,Acta and Riggleman
