Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers
ARI,2036216,25138,26.7,26.4,107,107,0,1,12,$78399500,3:14,37,22,59%,Hale
ATL,2020914,24950,28.9,26.4,98,99,0,1,12,$74999750,3:08,42,18,42%,Gonzalez and Snitker
BAL,2172344,26819,28.5,27.9,102,102,0,5,16,$153744833,3:00,39,20,51%,Showalter
BOS,2955434,36487,28.5,29.0,106,106,0,6,16,$218682750,3:12,46,20,43%,Farrell
CHC,3232420,39906,27.4,29.9,101,100,0,7,16,$176097333,3:05,42,21,50%,Maddon
CHW,1746293,21559,28.3,28.6,96,96,0,2,13,$113416000,3:03,39,20,51%,Ventura
CIN,1894085,23384,27.8,27.1,101,102,0,2,9,$77329561,3:04,51,25,49%,Price
CLE,1591667,19650,29.0,28.1,109,107,0,3,12,$94511067,3:03,49,28,57%,Francona
COL,2602524,32130,27.8,27.7,116,116,0,2,5,$89707000,3:11,54,32,59%,Weiss
DET,2493859,31173,30.0,29.0,100,101,0,1,11,$199902000,3:05,34,19,55%,Ausmus
HOU,2306623,28477,26.4,28.9,94,93,0,2,11,$89498000,3:04,37,16,43%,Hinch
KCR,2557712,31577,28.5,29.9,102,102,0,4,13,$125132675,2:59,37,25,67%,Yost
LAA,3016142,37236,28.5,28.4,95,95,0,1,8,$139712000,3:04,38,21,55%,Scioscia
LAD,3703312,45720,28.9,28.9,97,96,0,3,16,$231342096,3:10,35,19,54%,Roberts
MIA,1712417,21405,28.3,28.0,93,94,0,4,11,$72472000,3:05,53,34,64%,Mattingly
MIL,2314614,28575,27.5,28.1,102,102,0,1,7,$52077500,3:08,47,22,46%,Counsell
MIN,1963912,24246,26.9,28.3,100,100,0,1,11,$93333700,3:05,28,17,60%,Molitor
NYM,2789602,34440,29.5,28.4,96,96,0,4,12,$155221282,3:05,28,18,64%,Collins
NYY,3063405,37820,30.1,27.9,103,102,0,3,18,$193229350,3:03,28,18,64%,Girardi
OAK,1521506,18784,28.7,27.9,96,97,0,1,6,$54969067,2:56,34,22,64%,Melvin
PHI,1915144,23644,26.9,26.3,99,100,0,1,6,$84846666,3:03,46,26,56%,Mackanin
PIT,2249201,27768,28.9,28.6,99,99,0,2,13,$81187933,3:11,55,25,45%,Hurdle
SDP,2351422,29030,28.1,28.1,95,95,0,2,11,$50656166,3:06,57,27,47%,Green
SEA,2267928,27999,30.5,28.8,96,96,0,1,7,$137169100,3:02,37,22,59%,Servais
SFG,3365256,41546,29.1,30.0,96,96,0,4,14,$177021333,3:10,49,31,63%,Bochy
STL,3444490,42525,28.5,28.0,98,97,0,2,12,$150353500,3:01,54,28,51%,Matheny
TBR,1286163,15879,27.7,26.9,95,95,0,1,8,$48223791,3:01,49,29,59%,Cash
TEX,2710402,33462,28.4,28.8,107,108,0,2,12,$212117760,3:00,51,23,45%,Banister
TOR,3392099,41878,30.1,29.8,102,101,0,5,16,$182690767,3:00,49,19,38%,Gibbons
WSH,2481938,30641,28.8,29.1,103,102,0,5,12,$152967400,3:08,47,19,40%,Baker
