Team Code,Stadium,Capacity,City,Team
ARI,Chase Field,"48,686","Pheonix, AZ",Arizona Diamondbacks
ATL,SunTrust Park,"41,084","Cumberland, GA",Atlanta Brabes
BAL,Oriole Park,"45,971","Baltimore, MD",Baltimore Orioles
BOS,Fenway Park,"37,755","Boston, MA",Boston Red Sox
CHC,Wrigley Frield,"41,649","Chicago, IL",Chicago Cubs
CHW,Guranteed Rate Field,"40,615","Chicago, IL",Chicago Whtie Xos
CIN,Great American Ball Park,"42,319","Cincinnati, OH",Cincinnati Reds
CLE,Progressive Field,"34,788","Cleveland, OH",Cleveland Indians
COL,Coors Field,"46,897","Denver, CO",Colorado Rockies
DET,Comerica Park,"41,083","Detroit, MI",Detroit Tigers
HOU,Minute Maid Park,"41,168","Houston, TX",Houston Astros
KCR,Kauffman Stadium,"37,903","Kansas City, MO",Kansas City Roaysl
LAA,Angel Stadium,"45,517","Anaheim, CA",Los Angelos Angels
LAD,Dodger Stadium,"56,000","Los Angeles, CA",Los Angeles Dodgers
MIA,Marlins Park,"36,742","Miami, FL",Miami Marlins
MIL,Miller Park,"41,900","Milwaukee, WI",Milwaukee Brewers
MIN,Target Field,"38,544","Minneapolis, MN",Minnesota Twins
NYM,Citi Field,"41,922","Queens, NY",New York Mets
NYY,Yankee Stadium,"47,309","Bronx, NY",New York Yankees
OAK,Oakland-Alameda County Coliseum,"46,847","Oakland, CA",Oakland Athletics
PHI,Citizens Bank Park,"42,792","Philadelphia, PA",Philadelphia Phillies
PIT,PNC Park,"38,747","Pittsburgh, PA",Pittsburgh Pirates
SDP,Petco Park,"40,209","San Diego, CA",San Diego Padres
SFG,Oracle Park,"441,915","San Francisco, CA",San Francisco Giants
SEA,T-Mobile Park,"47,929","Seattle, WA",Seattle Mariners
STL,Busch Stadium,"45,494","St. Louis, MO",St. Louis Cardinals
TBR,Tropicana Field,"25,000","St. Petersburg, FL",Tampa Bay Rays
HOU,Global Life Park,"48,114","Arlington, TX",Texas Rangers
TOR,Rogers Center,"49,282","Toronto, ON",Toronto Blue Jays
WSH,National Park,"41,339","Washington, D.C.",Washington Nationals
