Team_Code,Stadium,Capacity,City,Team
ARI,Chase Field,48686,"Pheonix, AZ",Arizona Diamondbacks
ATL,SunTrust Park,41084,"Cumberland, GA",Atlanta Braves
BAL,Oriole Park,45971,"Baltimore, MD",Baltimore Orioles
BOS,Fenway Park,37755,"Boston, MA",Boston Red Sox
CHC,Wrigley Frield,41649,"Chicago, IL",Chicago Cubs
CHW,Guranteed Rate Field,40615,"Chicago, IL",Chicago White Sox
CIN,Great American Ball Park,42319,"Cincinnati, OH",Cincinnati Reds
CLE,Progressive Field,34788,"Cleveland, OH",Cleveland Indians
COL,Coors Field,46897,"Denver, CO",Colorado Rockies
DET,Comerica Park,41083,"Detroit, MI",Detroit Tigers
HOU,Minute Maid Park,41168,"Houston, TX",Houston Astros
KCR,Kauffman Stadium,37903,"Kansas City, MO",Kansas City Royals
LAA,Angel Stadium,45517,"Anaheim, CA",Los Angeles Angels of Anaheim
LAD,Dodger Stadium,56000,"Los Angeles, CA",Los Angeles Dodgers
MIA,Marlins Park,36742,"Miami, FL",Miami Marlins
MIL,Miller Park,41900,"Milwaukee, WI",Milwaukee Brewers
MIN,Target Field,38544,"Minneapolis, MN",Minnesota Twins
NYM,Citi Field,41922,"Queens, NY",New York Mets
NYY,Yankee Stadium,47309,"Bronx, NY",New York Yankees
OAK,Oakland-Alameda County Coliseum,46847,"Oakland, CA",Oakland Athletics
PHI,Citizens Bank Park,42792,"Philadelphia, PA",Philadelphia Phillies
PIT,PNC Park,38747,"Pittsburgh, PA",Pittsburgh Pirates
SDP,Petco Park,40209,"San Diego, CA",San Diego Padres
SFG,Oracle Park,41915,"San Francisco, CA",San Francisco Giants
SEA,T-Mobile Park,47929,"Seattle, WA",Seattle Mariners
STL,Busch Stadium,45494,"St. Louis, MO",St. Louis Cardinals
TBR,Tropicana Field,25000,"St. Petersburg, FL",Tampa Bay Rays
HOU,Global Life Park,48114,"Arlington, TX",Texas Rangers
TOR,Rogers Center,49282,"Toronto, ON",Toronto Blue Jays
WSH,National Park,41339,"Washington, D.C.",Washington Nationals
