,attendance,away_team,away_team_errors,away_team_hits,away_team_runs,date,field_type,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,day_of_week,temperature,wind_speed,wind_direction,sky,total_runs,game_hours_dec,season,home_team_win,home_team_loss,home_team_outcome
0,40030,New York Mets,1,7,3,4/3/2016,on grass,Night Game,Kansas City Royals,0,9,4,7:38 p.m. Local,Kauffman Stadium,Sunday,74,14, from Right to Left,Sunny,7,3.216666667,regular season,1,0,Win
1,21621,Philadelphia Phillies,0,5,2,4/6/2016,on grass,Night Game,Cincinnati Reds,0,8,3,7:11 p.m. Local,Great American Ball Park,Wednesday,55,24, from Right to Left,Overcast,5,2.383333333,regular season,1,0,Win
2,12622,Minnesota Twins,0,5,2,4/6/2016,on grass,Night Game,Baltimore Orioles,0,9,4,7:07 p.m. Local,Oriole Park at Camden Yards,Wednesday,48,7, out to Leftfield,Unknown,6,3.183333333,regular season,1,0,Win
3,18531,Washington Nationals,0,8,3,4/6/2016,on grass,Night Game,Atlanta Braves,1,8,1,7:10 p.m. Local,Turner Field,Wednesday,65,10, from Right to Left,Cloudy,4,2.883333333,regular season,0,1,Loss
5,28386,Seattle Mariners,1,11,10,4/5/2016,on grass,Night Game,Texas Rangers,1,7,2,7:07 p.m. Local,Globe Life Park in Arlington,Tuesday,81,12, from Right to Left,Cloudy,12,3.5,regular season,0,1,Loss
7,28329,Los Angeles Dodgers,0,6,3,4/5/2016,on grass,Night Game,San Diego Padres,1,2,0,7:11 p.m. Local,Petco Park,Tuesday,70,6, from Left to Right,Unknown,3,2.6,regular season,0,1,Loss
8,26049,St. Louis Cardinals,1,8,5,4/5/2016,on grass,Night Game,Pittsburgh Pirates,2,12,6,7:08 p.m. Local,PNC Park,Tuesday,40,7, out to Leftfield,Sunny,11,3.45,regular season,1,0,Win
9,10478,Chicago White Sox,0,11,5,4/5/2016,on grass,Night Game,Oakland Athletics,0,10,4,7:08 p.m. Local,Oakland-Alameda County Coliseum,Tuesday,70,8, out to Rightfield,Cloudy,9,3.466666667,regular season,0,1,Loss
10,47820,Houston Astros,0,6,5,4/5/2016,on grass,Day Game,New York Yankees,1,4,3,1:11 p.m. Local,Yankee Stadium III,Tuesday,36,18, from Left to Right,Sunny,8,3.283333333,regular season,0,1,Loss
12,36911,Detroit Tigers,1,12,8,4/5/2016,on grass,Night Game,Miami Marlins,2,10,7,7:37 p.m. Local,Marlins Park,Tuesday,77,16, from Left to Right,Sunny,15,3.783333333,regular season,0,1,Loss
